tg,td,to,te,fio,fik,Mod,pHo,alpha1,alpha2,Temp,pH,steps,expid
30,2.1,0.532,0.04,0.05,0.8,2,2.494082146,0.578732998,1.749748313,0,1,10,1
90,2.1,0.532,0.04,0.05,0.8,2,2.494082146,0.578732998,1.749748313,0,1,10,2
30,2.1,0.532,0.04,0.05,0.8,2,2.51401146,0.44117918,1.984384706,1,1,10,4
90,2.1,0.532,0.04,0.05,0.8,2,2.51401146,0.44117918,1.984384706,1,1,10,5
30,2.1,0.532,0.04,0.05,0.8,1,2.507084181,0.540905002,1.378751205,1,1,4,7
90,2.1,0.532,0.04,0.05,0.8,1,2.507084181,0.540905002,1.378751205,1,1,4,8
30,2.1,0.532,0.04,0.05,0.8,1,2.483991646,0.427925458,1.544093392,0,1,4,10
90,2.1,0.532,0.04,0.05,0.8,1,2.483991646,0.427925458,1.544093392,0,1,4,11
30,2.1,0.532,0.04,0.05,0.8,2,3.402085252,0.827837635,1.678226411,0,2,10,13
90,2.1,0.532,0.04,0.05,0.8,2,3.402085252,0.827837635,1.678226411,0,2,10,14
30,2.1,0.532,0.04,0.05,0.8,2,3.431360715,0.732910999,1.783249438,1,2,10,15
90,2.1,0.532,0.04,0.05,0.8,2,3.431360715,0.732910999,1.783249438,1,2,10,16
30,2.1,0.532,0.04,0.05,0.8,1,3.428674628,0.56586591,1.499432366,1,2,4,17
90,2.1,0.532,0.04,0.05,0.8,1,3.428674628,0.56586591,1.499432366,1,2,4,18
30,2.1,0.532,0.04,0.05,0.8,1,3.398003106,0.569104637,1.528478098,0,2,4,19
90,2.1,0.532,0.04,0.05,0.8,1,3.398003106,0.569104637,1.528478098,0,2,4,20
30,2.1,0.532,0.04,0.05,0.8,2,6.843701939,5.607648067,-4.363949877,0,6,10,21
90,2.1,0.532,0.04,0.05,0.8,2,6.843701939,5.607648067,-4.363949877,0,6,10,22
30,2.1,0.532,0.04,0.05,0.8,2,7.331219342,4.377803363,-4.147477777,1,6,10,23
90,2.1,0.532,0.04,0.05,0.8,2,7.331219342,4.377803363,-4.147477777,1,6,10,24
30,2.1,0.532,0.04,0.05,0.8,1,7.356560458,2.760847167,-1.664624612,1,6,4,25
90,2.1,0.532,0.04,0.05,0.8,1,7.356560458,2.760847167,-1.664624612,1,6,4,26
30,2.1,0.532,0.04,0.05,0.8,1,6.810815037,5.245734176,-3.899368105,0,6,4,27
90,2.1,0.532,0.04,0.05,0.8,1,6.810815037,5.245734176,-3.899368105,0,6,4,28
30,2.1,0.532,0.04,0.05,0.8,2,10.50294902,-0.93599336,-0.295019814,0,9,10,29
90,2.1,0.532,0.04,0.05,0.8,2,10.50294902,-0.93599336,-0.295019814,0,9,10,30
30,2.1,0.532,0.04,0.05,0.8,2,10.19581397,-1.481198458,0.601156688,1,9,10,32
90,2.1,0.532,0.04,0.05,0.8,2,10.19581397,-1.481198458,0.601156688,1,9,10,33
30,2.1,0.532,0.04,0.05,0.8,1,10.19098961,-0.834246546,-0.0849095,1,9,4,35
90,2.1,0.532,0.04,0.05,0.8,1,10.19098961,-0.834246546,-0.0849095,1,9,4,36
30,2.1,0.532,0.04,0.05,0.8,1,10.51736907,-0.675014459,-0.160843954,0,9,4,38
90,2.1,0.532,0.04,0.05,0.8,1,10.51736907,-0.675014459,-0.160843954,0,9,4,39
30,2.1,0.532,0.04,0.05,0.8,2,4.938005248,1.582969905,1.32742851,0,4,10,41
90,2.1,0.532,0.04,0.05,0.8,2,4.938005248,1.582969905,1.32742851,0,4,10,42
30,2.1,0.532,0.04,0.05,0.8,2,4.957298383,1.527431723,1.273792439,1,4,10,43
90,2.1,0.532,0.04,0.05,0.8,2,4.957298383,1.527431723,1.273792439,1,4,10,44
30,2.1,0.532,0.04,0.05,0.8,1,4.947207883,0.956624183,1.468137517,1,4,4,45
90,2.1,0.532,0.04,0.05,0.8,1,4.947207883,0.956624183,1.468137517,1,4,4,46
30,2.1,0.532,0.04,0.05,0.8,1,4.928444897,0.953816001,1.562000643,0,4,4,47
90,2.1,0.532,0.04,0.05,0.8,1,4.928444897,0.953816001,1.562000643,0,4,4,48
30,2.1,0.532,0.04,0.05,0.8,2,5.777101853,1.820293456,0.420092107,0,5,10,49
90,2.1,0.532,0.04,0.05,0.8,2,5.777101853,1.820293456,0.420092107,0,5,10,50
30,2.1,0.532,0.04,0.05,0.8,2,5.791393917,1.877822641,0.066980829,1,5,10,52
90,2.1,0.532,0.04,0.05,0.8,2,5.791393917,1.877822641,0.066980829,1,5,10,53
30,2.1,0.532,0.04,0.05,0.8,1,5.838223734,0.137227161,2.020370569,1,5,4,55
90,2.1,0.532,0.04,0.05,0.8,1,5.838223734,0.137227161,2.020370569,1,5,4,56
30,2.1,0.532,0.04,0.05,0.8,1,5.817304809,0.089027525,2.270643676,0,5,4,58
90,2.1,0.532,0.04,0.05,0.8,1,5.817304809,0.089027525,2.270643676,0,5,4,59
30,2.1,0.532,0.04,0.05,0.8,2,8.875880368,-0.911375174,-0.431380529,0,7,10,61
90,2.1,0.532,0.04,0.05,0.8,2,8.875880368,-0.911375174,-0.431380529,0,7,10,62
30,2.1,0.532,0.04,0.05,0.8,2,8.568016494,-1.119237442,-0.228081825,1,7,10,63
90,2.1,0.532,0.04,0.05,0.8,2,8.568016494,-1.119237442,-0.228081825,1,7,10,64
30,2.1,0.532,0.04,0.05,0.8,1,8.58001553,-1.194476813,0.442390489,1,7,4,65
90,2.1,0.532,0.04,0.05,0.8,1,8.58001553,-1.194476813,0.442390489,1,7,4,66
30,2.1,0.532,0.04,0.05,0.8,1,8.890530149,-0.858346364,0.040227054,0,7,4,67
90,2.1,0.532,0.04,0.05,0.8,1,8.890530149,-0.858346364,0.040227054,0,7,4,68
30,2.1,0.532,0.04,0.05,0.8,2,9.620315947,-0.384873086,-1.05481418,0,8,10,69
90,2.1,0.532,0.04,0.05,0.8,2,9.620315947,-0.384873086,-1.05481418,0,8,10,70
30,2.1,0.532,0.04,0.05,0.8,2,9.319467709,-0.495518903,-1.039177466,1,8,10,71
90,2.1,0.532,0.04,0.05,0.8,2,9.319467709,-0.495518903,-1.039177466,1,8,10,72
30,2.1,0.532,0.04,0.05,0.8,1,9.329717254,-0.910215273,0.138545571,1,8,4,73
90,2.1,0.532,0.04,0.05,0.8,1,9.329717254,-0.910215273,0.138545571,1,8,4,74
30,2.1,0.532,0.04,0.05,0.8,1,9.628639285,-0.612910999,-0.183249438,0,8,4,75
90,2.1,0.532,0.04,0.05,0.8,1,9.628639285,-0.612910999,-0.183249438,0,8,4,76
30,2.1,0.532,0.04,0.05,0.8,2,4.172955446,0.345602442,2.301831423,0,3,10,77
90,2.1,0.532,0.04,0.05,0.8,2,4.172955446,0.345602442,2.301831423,0,3,10,78
30,2.1,0.532,0.04,0.05,0.8,2,4.202902431,0.247437078,2.377808718,1,3,10,79
90,2.1,0.532,0.04,0.05,0.8,2,4.202902431,0.247437078,2.377808718,1,3,10,80
30,2.1,0.532,0.04,0.05,0.8,1,4.178003106,0.569104637,1.528478098,1,3,4,81
90,2.1,0.532,0.04,0.05,0.8,1,4.178003106,0.569104637,1.528478098,1,3,4,82
30,2.1,0.532,0.04,0.05,0.8,1,4.14902806,0.593635001,1.526250402,0,3,4,83
90,2.1,0.532,0.04,0.05,0.8,1,4.14902806,0.593635001,1.526250402,0,3,4,84
270,2.1,0.532,0.04,0.05,0.8,2,2.494082146,0.578732998,1.749748313,0,1,10,3
270,2.1,0.532,0.04,0.05,0.8,2,2.51401146,0.44117918,1.984384706,1,1,10,6
270,2.1,0.532,0.04,0.05,0.8,1,2.507084181,0.540905002,1.378751205,1,1,4,9
270,2.1,0.532,0.04,0.05,0.8,1,2.483991646,0.427925458,1.544093392,0,1,4,12
270,2.1,0.532,0.04,0.05,0.8,2,3.402085252,0.827837635,1.678226411,0,2,10,1001
270,2.1,0.532,0.04,0.05,0.8,2,3.431360715,0.732910999,1.783249438,1,2,10,1002
270,2.1,0.532,0.04,0.05,0.8,1,3.428674628,0.56586591,1.499432366,1,2,4,1003
270,2.1,0.532,0.04,0.05,0.8,1,3.398003106,0.569104637,1.528478098,0,2,4,1004
270,2.1,0.532,0.04,0.05,0.8,2,6.843701939,5.607648067,-4.363949877,0,6,10,1005
270,2.1,0.532,0.04,0.05,0.8,2,7.331219342,4.377803363,-4.147477777,1,6,10,1006
270,2.1,0.532,0.04,0.05,0.8,1,7.356560458,2.760847167,-1.664624612,1,6,4,1007
270,2.1,0.532,0.04,0.05,0.8,1,6.810815037,5.245734176,-3.899368105,0,6,4,1008
270,2.1,0.532,0.04,0.05,0.8,2,10.50294902,-0.93599336,-0.295019814,0,9,10,31
270,2.1,0.532,0.04,0.05,0.8,2,10.19581397,-1.481198458,0.601156688,1,9,10,34
270,2.1,0.532,0.04,0.05,0.8,1,10.19098961,-0.834246546,-0.0849095,1,9,4,37
270,2.1,0.532,0.04,0.05,0.8,1,10.51736907,-0.675014459,-0.160843954,0,9,4,40
270,2.1,0.532,0.04,0.05,0.8,2,4.938005248,1.582969905,1.32742851,0,4,10,1009
270,2.1,0.532,0.04,0.05,0.8,2,4.957298383,1.527431723,1.273792439,1,4,10,1010
270,2.1,0.532,0.04,0.05,0.8,1,4.947207883,0.956624183,1.468137517,1,4,4,1011
270,2.1,0.532,0.04,0.05,0.8,1,4.928444897,0.953816001,1.562000643,0,4,4,1012
270,2.1,0.532,0.04,0.05,0.8,2,5.777101853,1.820293456,0.420092107,0,5,10,51
270,2.1,0.532,0.04,0.05,0.8,2,5.791393917,1.877822641,0.066980829,1,5,10,54
270,2.1,0.532,0.04,0.05,0.8,1,5.838223734,0.137227161,2.020370569,1,5,4,57
270,2.1,0.532,0.04,0.05,0.8,1,5.817304809,0.089027525,2.270643676,0,5,4,60
270,2.1,0.532,0.04,0.05,0.8,2,8.875880368,-0.911375174,-0.431380529,0,7,10,1013
270,2.1,0.532,0.04,0.05,0.8,2,8.568016494,-1.119237442,-0.228081825,1,7,10,1014
270,2.1,0.532,0.04,0.05,0.8,1,8.58001553,-1.194476813,0.442390489,1,7,4,1015
270,2.1,0.532,0.04,0.05,0.8,1,8.890530149,-0.858346364,0.040227054,0,7,4,1016
270,2.1,0.532,0.04,0.05,0.8,2,9.620315947,-0.384873086,-1.05481418,0,8,10,1017
270,2.1,0.532,0.04,0.05,0.8,2,9.319467709,-0.495518903,-1.039177466,1,8,10,1018
270,2.1,0.532,0.04,0.05,0.8,1,9.329717254,-0.910215273,0.138545571,1,8,4,1019
270,2.1,0.532,0.04,0.05,0.8,1,9.628639285,-0.612910999,-0.183249438,0,8,4,1020
270,2.1,0.532,0.04,0.05,0.8,2,4.172955446,0.345602442,2.301831423,0,3,10,1021
270,2.1,0.532,0.04,0.05,0.8,2,4.202902431,0.247437078,2.377808718,1,3,10,1022
270,2.1,0.532,0.04,0.05,0.8,1,4.178003106,0.569104637,1.528478098,1,3,4,1023
270,2.1,0.532,0.04,0.05,0.8,1,4.14902806,0.593635001,1.526250402,0,3,4,1024
